Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify that ""Company"" and ""Website"" field accepts alphanumeric and special characters.",AF-101,10129,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:14 PM,08/Sep/21 6:31 PM,08/Sep/21 5:16 PM,08/Sep/21 6:31 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000rr:,,AF Sprint 1,,,,,,,,Done
Verify that arrow buttons besides Affiliate name are clickable.,AF-100,10128,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 4:58 PM,08/Sep/21 6:26 PM,08/Sep/21 4:58 PM,08/Sep/21 6:26 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000rj:,,AF Sprint 1,,,,,,,,Done
Verify that on clicking the up arrow besides Affiliate name column the records in the list gets sorted in descending order.,AF-99,10127,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 4:52 PM,08/Sep/21 6:34 PM,08/Sep/21 4:57 PM,08/Sep/21 6:34 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000rb:,,AF Sprint 1,,,,,,,,Done
Verify that on clicking the down arrow besides Affiliate name column the records in the list gets sorted in ascending order.,AF-98,10126,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 11:43 AM,08/Sep/21 6:33 PM,08/Sep/21 4:52 PM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000r3:,,AF Sprint 1,,,,,,,,Done
As a user I want to sort the Affiliate records in ascending or descending order for more readability.,AF-97,10125,Story,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 11:06 AM,08/Sep/21 6:26 PM,08/Sep/21 5:01 PM,08/Sep/21 6:26 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,AF-98,AF-99,AF-100,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000qv:,,AF Sprint 1,,,,,,,,Done
Verify that after modifying all the required data fields and clicking save button the desired updated results are reflected and displayed in the Affiliate list as required.,AF-96,10124,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 11:01 AM,08/Sep/21 6:26 PM,08/Sep/21 11:02 AM,08/Sep/21 6:26 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000qn:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Payee Name"" should be saved and the changed value are reflected in the Affiliate list.",AF-95,10123,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:44 AM,08/Sep/21 6:33 PM,08/Sep/21 11:43 AM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000qf:,,AF Sprint 1,,,,,,,,Done
"Verify ""Payee Name"" field values appears the same as while creation of record on during modification by default.",AF-94,10122,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:41 AM,08/Sep/21 6:33 PM,08/Sep/21 8:41 AM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000q7:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""tax id"" should be saved and the changed value are reflected in the Affiliate list.",AF-93,10121,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:39 AM,08/Sep/21 6:33 PM,08/Sep/21 8:43 AM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000pz:,,AF Sprint 1,,,,,,,,Done
"Verify ""Payment Method"" field values appears the same as while creation of record on during modification by default.",AF-92,10120,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:17 AM,08/Sep/21 6:26 PM,08/Sep/21 8:41 AM,08/Sep/21 6:26 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000pr:,,AF Sprint 1,,,,,,,,Done
